Id,BC,CH4,CO,CO2,Latitude,Longitude,N2O,NH3,NMVOC,NOx,OC,PM10,PM2.5,SO2,SPF
10962,0.027938361070173,0.218696644987965,3.656659220437872,162.686886995029,,,0.005985511040516,0.0311398065843594,0.215692757804066,0.079829057926238,0.1058312048242644,0.239087359419973,0.114214233366766,0.014607130979695,
10963,0.027938361133384004,0.21869664498796504,3.684615882331411,162.686886995029,,,0.005985511040516,0.031139813670770466,0.3031468750177093,0.081825962347205,0.10583120482482823,0.2721109393344221,0.12409538310564441,0.0149399483831894,
10964,0.027938352706056803,0.21869657902030942,3.684614779336728,162.68683792215663,,,0.0059855092350466,0.031139804277759267,0.3031468099561462,0.08182593826756801,0.10583117290190383,0.2721108672161113,0.12409534865406321,0.0149399439770944,
10965,0.0279383594479186,0.21869663179443383,4.2087923080510885,162.68687718045453,,,0.0059855106794222,0.031139811792168265,0.3563706409964136,2.454851784926325,0.10583119844024343,2.398362374593562,1.5208624529442327,5.660281742767258,
10966,0.0279383560137766,0.2186966054073716,4.180835204959674,162.68685755130556,,,0.0059855099572344,0.0311398009485528,0.3463860928669526,2.452854870873503,0.1058311856705098,2.398273283501495,1.5208616447256338,5.659948923601325,
10967,0.027938361133384004,0.21869664498796504,4.208792528650026,162.686886995029,,,0.005985511040516,0.031139813670770466,0.3563706540087261,2.4548517897422526,0.10583120482482823,2.3983623890172243,1.520862459834549,5.6602817436484765,
10968,0.027938354391522202,0.21869659221384044,4.20879164625428,162.68684773673112,,,0.0059855095961404,0.031139806156361666,0.3563706019594755,2.4548517704785424,0.10583117928648862,2.3983623313225757,1.5208624322732842,5.660281740123602,
10969,0.027938361133384004,0.21869664498796504,3.684615882331411,162.686886995029,,,0.005985511040516,0.031139813670770466,0.3031468750177093,0.081825962347205,0.10583120482482823,0.2721109393344221,0.12409538310564441,0.0149399483831894,
10970,0.0229560190491344,19.51926439837012,3.004554866684058,133.67438653691707,,,0.004918094698532,0.025586540002881,0.177227541890302,0.065592873176287,0.0869579696474162,0.1964501054112176,0.0938460244773952,0.0120021921178858,
10971,0.0278091937408148,19.557254208149775,3.639753400347338,161.93473726577494,,,0.0059578382477562,0.030995838022885,0.214695546213255,0.0794599845152528,0.1053419157762932,0.237981987647377,0.1136861870915528,0.0145395978809032,
10972,0.026575867953000803,19.54759994728892,3.50628855531612,154.75300091231438,,,0.005693610669076,0.029621192946989467,0.2926280077574592,0.07793287260054,0.10067004685702102,0.26045116817220726,0.11852540304582443,0.0142275903355998,
10973,0.028011763153238202,0.21927122326895762,4.218399612330575,163.1143117132947,,,0.0060012366802244,0.031221626798441867,0.3569373402238184,2.455061523379817,0.10610925349698162,2.3989905395038957,1.521162533106713,5.660320120735647,
10974,0.0694983371785488,0.276853950115759,5.355366335852398,202.91713200851987,,,0.03554897243509,0.038998797406793025,0.5150210003798783,3.3714470385323176,0.14309926022931843,2.5738953433072616,1.6578157297726035,5.663893887620937,
10975,0.034901337413508,0.2732016156900452,4.595951781830122,203.23274909439792,,,0.007477258222638,0.03890067459135007,0.3569031978246204,0.10172146857997641,0.13220713171035423,0.3316978137519079,0.15256058175447923,0.0185804305960442,
10976,0.0663630442519688,0.5194784007780586,8.685800754410021,386.4363071888421,,,0.0142176104408818,0.0739675586969858,0.5123431540965402,0.1896209763502462,0.2513848579503792,0.567913234903861,0.2712973822653962,0.0346968699117684,
10977,0.0676934698301268,0.5298927409676816,8.887887627954761,394.183461177648,,,0.0145026406396218,0.07545044422090746,0.6100685663103108,0.195419342683474,0.2564245428065484,0.612322161384442,0.28661741690735104,0.035725279290280305,
10978,0.0676934765719886,0.5298927937418062,8.887888510350507,394.1835004359459,,,0.0145026420839974,0.07545045173531646,0.6100686183595614,0.1954193619471836,0.25642456834488786,0.6123222190790906,0.286617444468616,0.035725282815156405,
10979,0.0676934698301268,0.5298927409676816,8.887887627954761,394.183461177648,,,0.0145026406396218,0.07545044422090746,0.6100685663103108,0.195419342683474,0.2564245428065484,0.612322161384442,0.28661741690735104,0.035725279290280305,
10980,0.06769346308826499,0.5298926881935572,8.887886745559015,394.18342191935005,,,0.0145026391952462,0.07545043670649845,0.6100685142610603,0.1954193234197644,0.25642451726820886,0.6123221036897932,0.286617389346086,0.0357252757654043,
10981,0.0500722522149588,0.3919569060940234,6.553611440915718,291.5739694687527,,,0.0107274731579052,0.0558100113782886,0.3865732189006448,0.1430728421228898,0.1896749335747894,0.4285019630255388,0.2046993338411842,0.026179486502989,
11087,0.0199437046531756,0.1561158611031362,2.610293829568332,116.13348460290845,,,0.0042727368327206,0.0222290457165902,0.153971546386297,0.0569857032781304,0.075547247986505,0.170671703705277,0.081531444587403,0.0104272510959958,
11088,0.019954579276186,0.1562009857660286,2.6117171339060334,116.1968082374033,,,0.0042750666106172,0.0222411664582604,0.154055501827394,0.0570167756416106,0.075588441328244,0.1707647651734746,0.0815759009077704,0.0104329367209424,
11089,0.019971189538084,0.1563310080153784,2.6138911364243302,116.29353086882716,,,0.004278625191084,0.0222596800833626,0.1541837381683752,0.057064236605978,0.0756513614123788,0.1709069103639716,0.0816438049742956,0.010441621134124,
